Wall time,Step,Value
1571055364.1207042,5639,0.900726318359375
1571055364.2726305,5649,0.9218577742576599
1571055364.4310653,5659,0.8688172101974487
1571055364.6044612,5669,0.9436237215995789
1571055364.8581455,5679,0.8608660101890564
1571055365.0314772,5689,1.1367374658584595
1571055365.2030668,5699,0.8853841423988342
1571055365.3265595,5709,1.0127538442611694
1571055365.4862182,5719,1.0820660591125488
1571055365.6475463,5729,0.8566846251487732
1571055365.8343132,5739,0.8585487008094788
1571055366.023693,5749,0.9074227809906006
1571055366.2826927,5759,1.1127052307128906
1571055366.5357952,5769,0.9707933068275452
1571055366.7687676,5779,1.0542601346969604
1571055366.9799497,5789,0.9026648998260498
1571055367.2730606,5799,0.8803008198738098
1571055367.4709003,5809,0.7916767597198486
1571055367.6508925,5819,0.9614213705062866
1571055367.813792,5829,0.8088173270225525
1571055367.9962637,5839,0.7739281058311462
1571055368.1245973,5849,0.8373500108718872
1571055368.2927587,5859,1.0194951295852661
1571055370.2831824,5869,0.8970458507537842
1571055370.4223437,5879,0.948523223400116
1571055370.6445444,5889,0.7786959409713745
1571055370.8236585,5899,0.9758470058441162
1571055370.881865,5909,0.9891648888587952
1571055370.9721408,5919,0.7594621181488037
1571055371.044241,5929,0.831289529800415
1571055371.1075852,5939,0.9311965107917786
1571055371.296192,5949,1.0459040403366089
1571055371.4272635,5959,0.8855275511741638
1571055371.537528,5969,0.8674963712692261
1571055371.6613007,5979,0.895273745059967
1571055371.7501376,5989,0.7929275631904602
1571055371.8789487,5999,0.9996490478515625
1571055371.971269,6009,0.8500956296920776
1571055372.0735085,6019,0.9539807438850403
1571055372.2168336,6029,0.9573977589607239
1571055372.3345587,6039,0.7445436716079712
1571055372.4416487,6049,0.8567628860473633
1571055372.5596077,6059,0.8262142539024353
1571055372.7530346,6069,0.9495432376861572
1571055372.8452718,6079,0.8186047077178955
1571055372.9313383,6089,0.8657776117324829
1571055373.0751312,6099,0.837360143661499
1571055373.26168,6109,0.9100702404975891
1571055373.4179041,6119,0.9447446465492249
1571055373.544217,6129,0.9606382250785828
1571055373.6999888,6139,0.8660714626312256
1571055373.893054,6149,1.0062488317489624
1571055374.051146,6159,0.758847177028656
1571055374.3265123,6169,0.9458175301551819
1571055374.5603201,6179,0.8114868998527527
1571055374.8099728,6189,0.9316637516021729
1571055374.945903,6199,0.9284707903862
1571055375.1811867,6209,0.813686728477478
1571055375.314865,6219,0.8786724805831909
1571055375.5046215,6229,1.1626352071762085
1571055375.6428957,6239,1.0546772480010986
1571055375.8470128,6249,0.7262564897537231
1571055379.895208,6259,1.011374592781067
1571055379.9798324,6269,0.7324596047401428
1571055380.1374733,6279,0.8611485958099365
1571055380.230595,6289,0.6682186126708984
1571055380.3166935,6299,0.907451331615448
1571055380.4017558,6309,0.821926474571228
1571055380.473678,6319,0.7735080718994141
1571055380.5759535,6329,0.8760170340538025
1571055380.6500182,6339,0.9334790706634521
1571055380.7777257,6349,0.9280315637588501
1571055380.9124382,6359,0.9268368482589722
1571055381.14107,6369,0.7455541491508484
1571055381.3868098,6379,0.9469937086105347
1571055381.5296564,6389,0.834837794303894
1571055381.6558645,6399,0.8559454083442688
1571055381.8343415,6409,0.8164241909980774
1571055382.0650265,6419,0.9013059139251709
1571055382.2574105,6429,1.0022857189178467
1571055382.4046001,6439,0.7828665375709534
1571055382.5951188,6449,0.9303167462348938
1571055382.7708209,6459,0.9151841998100281
1571055382.9120755,6469,0.8257551789283752
1571055383.0474398,6479,0.7733045816421509
1571055383.2255201,6489,0.7990509271621704
1571055383.3733492,6499,0.6856597661972046
1571055383.7177496,6509,0.8131423592567444
1571055383.9407034,6519,0.8680532574653625
1571055384.1256075,6529,0.8267759084701538
1571055384.3768353,6539,0.7299796938896179
1571055384.598758,6549,0.9219274520874023
1571055384.8605294,6559,0.7361608743667603
1571055385.1344373,6569,0.7312678098678589
1571055385.3815606,6579,0.8984813690185547
1571055385.6479282,6589,1.0105500221252441
1571055385.7304661,6599,0.7813685536384583
1571055385.9227035,6609,0.7876015305519104
1571055386.1133661,6619,0.7469505071640015
1571055386.2656198,6629,0.8387812376022339
1571055386.4079876,6639,0.7788748741149902
1571055388.4269848,6649,0.801471471786499
1571055388.5193045,6659,0.8718906044960022
1571055388.666321,6669,0.7138789892196655
1571055388.8558095,6679,0.6925621628761292
1571055388.98041,6689,0.7731138467788696
1571055389.0871148,6699,0.8921219706535339
1571055389.1895478,6709,0.7677436470985413
1571055389.23975,6719,0.6614468097686768
1571055389.435248,6729,0.6629608869552612
1571055389.596763,6739,0.778190553188324
1571055389.7448473,6749,0.6816116571426392
1571055389.9306204,6759,0.6959253549575806
